cvn,imoNumber,vesselName,builtDate,vesselTypeTopLevelType,vesselTypeMidLevelType,detailedVesselType,flagOfRegistry,ageYear,mmsiMaritimeMobileServiceIdentity,classSociety,mainStatus,detailedStatus,grossTonnage,deadweightTonnes,lengthOverallMetres,draftMetres,beamMetres,lightDisplacement,ownerCompanyId,owner,ownerNationalityRegion,groupOwnerCompanyId,groupOwner,groupOwnerCountryRegion,registeredOwnerCompany,builderCompanyId,builder,builderCountryRegion,specificSize,specificUnit,callSign,sisterVesselCode,contractDate,compensatedGrossTonnage,yard,operatorCompanyId,operator,operatorCountryRegion,managerCompanyId,technicalManager,technicalManagerCountryRegion,cargoCapacityCubicMetres,tanksTotal,pumpsTotal,coatedTanksFitted,imoClass,iceClassNotation,iceClassed,speedKnots,powerType,mainEngineFuelType,mainEngineSummary,auxiliarySummary,propulsorSummary,environmentalSummary,ballastWaterTreatmentSystemFitted,mainEngineLngReady,hullSurveyDueDate,lastHullSurveyDate,mainEngines,auxiliaryEngines,positionalThrusters,propulsion,environmentalEquipment,globalZonePercentageTimeSpent,timeseries,bespokeData,vehicleDecksNo,vehicleCapacity,teuTotalCapacity,gearedIndicator,homogenousTeuCapacity,reeferTeuTotal,consumptionTonnesPerDay,mainEngineEcoMeEngine,newbuildingPrice,newbuildingPriceCurrency,exName,shipDesign,holdsTotal,hatchesTotal,greatLakesOnly,soxScrubberFitted,laneLengthMetres,passengersTotalNo,passengerBerths,heavyLiftCapable,tankTempCelcius,cargoContainmentSystemType,mainEngineLngCapable,alternativeFuelTypes,tankPressureKgfSqCm,noxAbatementIndicator
16117099,9483126.0,Seabourn Quest,2011-05-01T00:00:00,Cruise,Cruise <500 Berths,Cruise Ship,Bahamas,11.75,311038900.0,Lloyd's Register,Fleet,In Service,32477,3666.0,197.0,6.9,26.0,,462644,Seabourn Cruise Line,United States,258166,Carnival Corporation,United States,Seabourn Cruise Line Ltd,389282,T. Mariotti,Italy,462.0,Berths,C6YZ5,72496.003,2007-11-08T00:00:00,51635.92206,T. Mariotti,462644.0,Seabourn Cruise Line,United States,258124.0,Holland America Line,United States,,,,,,,,19.0,Diesel Electric,VLS IFO,4 x Diesel Gen. - Wartsila 4-stroke 12V32B3,,"2 x Wartsila Propulsion, FP Propeller, 170rpm ",1 x BWTS - Ballast Water Treatment System - Hyde Marine,True,False,2026-05-27T00:00:00,2021-05-28T00:00:00,[],[],[],[],[],[],[],,,,,,,,,,290.0,$m,,,,,,,,462.0,462.0,,,,,,,
16122864,9497294.0,Magsenger 16,2012-08-01T00:00:00,Bulkcarriers,Capesize Bulker,Bulk Carrier,Hong Kong,10.5,477638200.0,Lloyd's Register,Fleet,In Service,64769,115483.0,254.0,14.5,43.0,,720584,CITIC Limited,China P.R.,677453,CITIC Group,China P.R.,Master Champ Assets Ltd,983412,Jiangnan Changxing,China P.R.,115483.0,DWT,VRJY7,73536.01,2007-12-14T00:00:00,24965.02383,Jiangnan Changxing,720584.0,CITIC Limited,Hong Kong,679549.0,Cheng Xin,Singapore,,,,,,,False,14.5,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S60MC-C8.2,3 x Aux. Diesel Gen.,"1 x FP Propeller, 105rpm ",1 x BWTS - Ballast Water Treatment System - SunRui,True,False,2027-08-23T00:00:00,2022-09-12T00:00:00,[],[],[],[],[],[],[],,,,,False,,,47.0,,,,,JN 115K,7.0,7.0,,,,,,,,,,,,
16124039,9491393.0,APJ Jai,2011-06-01T00:00:00,Bulkcarriers,Handymax Bulker,Bulk Carrier,Panama,11.66667,351276000.0,Lloyd's Register,Fleet,In Service,32987,56594.0,189.99,12.8,32.26,,347211,Apeejay Shipping,India,347211,Apeejay Shipping,India,Surrendra Overseas Panama Inc,871424,COSCO Guangdong,China P.R.,56594.0,DWT,3FYB8,75053.02,2007-12-21T00:00:00,16541.96579,COSCO Guangdong,347211.0,Apeejay Shipping,India,347211.0,Apeejay Shipping,India,,,,,,,False,14.2,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S50MC-C8.2,3 x Aux. Diesel Gen. - MAN Energy Solutions,"1 x FP Propeller, 127rpm ",1 x BWTS - Ballast Water Treatment System - ERMA FIRST,True,False,2025-12-13T00:00:00,2021-08-16T00:00:00,[],[],[],[],[],[],[],,,,,True,,,30.1,,,,,Dolphin 57,5.0,5.0,False,,,,,False,,,,,,
16134070,9514999.0,Viking Ocean,2012-09-01T00:00:00,Pure Car Carriers,"Pure Car Carriers (4,000-5,999 Vehicles)",Pure Car Carrier,Marshall Is.,10.41667,538009731.0,DNV,Fleet,In Service,39454,12550.0,167.25,8.4,28.0,12760.0,623821,Gram Car Carriers,Norway,219567,P.D. Gram,Norway,Gram Car Carriers Shipowning AS,940034,Nantong Mingde HI,China P.R.,4200.0,Cars,V7A5094,72944.007,2008-04-18T00:00:00,24737.45329,Nantong Mingde HI,812322.0,MOL ACE,Japan,615440.0,OSM (Singapore),Singapore,,,,,,,,18.0,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 7S50ME-C8.1,3 x Aux. Diesel Gen. - HHI-EMD (HiMSEN),"1 x FP Propeller, 127rpm ",1 x BWTS - Ballast Water Treatment System - ERMA FIRST,True,False,2027-09-10T00:00:00,2023-02-19T00:00:00,[],[],[],[],[],[],[],,11.0,4200.0,,,,,42.0,Eco – Electronic Engine,,,,Deltamarin 4200PCTC,,,,,,,,,,,,,,
16138894,9487380.0,Aland,2013-04-01T00:00:00,Chemical Tankers,"Chemical Tankers (<10,000 dwt)",Chemical & Oil Carrier,Malta,9.83333,249581000.0,American Bureau of Shipping,Fleet,In Service,3308,4995.0,99.84,6.112,15.6,2121.0,745879,Besiktas Likid,Turkey,745879,Besiktas Likid,Turkey,ALAND TANKER CO. LTD.,244248,Yardimci Deniz,Turkey,4995.0,DWT,9HA4298,75190.002,2007-10-01T00:00:00,7245.03206,Yardimci Deniz,839837.0,Alba Tank Sweden,Sweden,745879.0,Besiktas Likid,Turkey,5238.0,14.0,10.0,True,2.0,,False,12.5,Diesel 4-Stroke,VLS MDO,2 x Diesel - Wartsila 4-stroke 6L20,1 x Aux. Diesel Gen. - MAN Energy Solutions,"2 x Wartsila Propulsion, CP Propeller, 200rpm ",1 x BWTS - Ballast Water Treatment System (Pending) - DESMI,True,False,2023-07-18T00:00:00,2018-05-09T00:00:00,[],[],[],[],[],[],[],,,,,,,,,,,,Anzer,5000 DWT Oil & Chemical Tanker,,,,,,,,,,,,,,
16145676,9514107.0,Jewel of Sohar,2011-12-01T00:00:00,Bulkcarriers,Handymax Bulker,Bulk Carrier,Panama,11.16667,373301000.0,Lloyd's Register,Fleet,In Service,31572,55875.0,190.0,12.735,32.26,,376516,Mitsubishi Corp,Japan,376516,Mitsubishi Corp,Japan,SUN CORDIA MARINE S.A.,403018,I.H.I. (Yokohama),Japan,55875.0,DWT,3FJV3,76970.05,2008-03-01T00:00:00,16105.42817,I.H.I. (Yokohama),260369.0,Emirates Trading,U.A.E.,320706.0,Eneos Ocean Ship Mng,Singapore,,,,,,,False,14.8,Diesel 2-Stroke,VLS IFO,1 x Diesel - Wartsila 2-stroke 6RT-flex50-B,3 x Aux. Diesel Gen.,"1 x FP Propeller, 124rpm ",1 x BWTS - Ballast Water Treatment System,True,False,2026-12-12T00:00:00,2021-11-28T00:00:00,[],[],[],[],[],[],[],,,,,True,,,,Eco – Electronic Engine,,,,Future-56,5.0,5.0,False,,,,,,,,,,,
16160840,9605695.0,An Ji 8,2011-06-01T00:00:00,Pure Car Carriers,"Pure Car Carriers (2,000-3,999 Vehicles)",Pure Car Carrier,China P.R.,11.66667,413202490.0,China Classification Society,Fleet,In Service,19568,5126.0,140.5,6.0,24.4,,533232,Dalian Jifa,China P.R.,729466,China Merchants,China P.R.,Dalian Jifa Ship Management Co Ltd,940034,Nantong Mingde HI,China P.R.,2300.0,Cars,BAHP,75977.001,2008-07-01T00:00:00,15141.66965,Nantong Mingde HI,535144.0,Shanghai Ansheng,China P.R.,535144.0,Shanghai Ansheng,China P.R.,,,,,,B,True,16.7,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S42MC7.2,3 x Aux. Diesel Gen.,"1 x FP Propeller, 136rpm ",,,False,2026-06-16T00:00:00,2021-06-05T00:00:00,[],[],[],[],[],[],[],,9.0,2300.0,,,,,,,250.0,$m,,SDARI 2000 PCC,,,,,,,,,,,,,,
16175707,9579494.0,Almi Horizon,2011-12-01T00:00:00,Crude Tankers,"Suezmax (125,000-199,999 dwt)",Tanker,Liberia,11.16667,636015410.0,Lloyd's Register,Fleet,In Service,84216,157787.0,274.0,17.024,48.0,24740.0,596587,Almi Tankers,Greece,596587,Almi Tankers,Greece,Alberta Seaway S.A.,402529,Daewoo (DSME),South Korea,157787.0,DWT,D5AN9,93608.001,2009-12-23T00:00:00,30811.73578,Daewoo (DSME),596587.0,Almi Tankers,Greece,596587.0,Almi Tankers,Greece,170568.0,12.0,3.0,False,,,False,14.0,Diesel 2-Stroke,IFO 380,1 x Diesel - MAN B. & W. 6S70MC-C8.2,3 x Aux. Diesel Gen. - MAN Energy Solutions,"1 x FP Propeller, 91rpm ","1 x Exhaust Scrubber - SOx - HHI Power Systems, 1 x BWTS - Ballast Water Treatment System - HHI-EMD (HiBallast)",True,False,2026-12-13T00:00:00,2021-11-02T00:00:00,[],[],[],[],[],[],[],,,,,,,,51.0,,,,,,,,,True,,,,,,,,,,
16177464,9562697.0,Gassan,2012-06-01T00:00:00,Crude Tankers,"VLCC (200,000+ dwt)",Tanker,Japan,10.66667,431762000.0,Nippon Kaiji Kyokai,Fleet,In Service,160137,308209.0,333.0,20.94,60.0,43205.0,124360,Mitsui OSK Lines,Japan,124360,Mitsui OSK Lines,Japan,"Mitsui OSK Lines, Ltd.",394394,Mitsui SB (Chiba),Japan,308209.0,DWT,7KMK,93641.002,2008-09-01T00:00:00,44442.8089,Mitsui SB (Chiba),,,,124360.0,Mitsui OSK Lines,Japan,339525.0,15.0,3.0,False,,,False,16.9,Diesel 2-Stroke,IFO 380,1 x Diesel - MAN B. & W. 7S80MC-C7.2,2 x Aux. Diesel Gen. - Yanmar,"1 x FP Propeller, 76rpm ","1 x Exhaust Scrubber - SOx - Mitsubishi, 2 x BWTS - Ballast Water Treatment System - SunRui",True,False,2027-05-31T00:00:00,2022-06-01T00:00:00,[],[],[],[],[],[],[],,,,,,,,,,,,,Mitsui 310K ULCC,,,,True,,,,,,,,,,
16178016,9532161.0,FS Endeavor,2012-06-01T00:00:00,Products Tankers,"LR2 (85,000-124,999 dwt)",Product Carrier,Hong Kong,10.66667,477083600.0,American Bureau of Shipping,Fleet,In Service,63058,108994.0,249.97,13.266,42.0,19373.0,619637,Simosa Shipping,Taiwan,819026,Dah Chung Group,Taiwan,J & K Shipping Co. Ltd.,452232,Namura Shipbuilding,Japan,108994.0,DWT,VRKA2,93652.002,2006-11-28T00:00:00,26127.21667,Namura Shipbuilding,580289.0,Shell,United Kingdom,415837.0,Executive Ship Mngt,Singapore,125108.0,12.0,3.0,True,,,False,15.0,Diesel 2-Stroke,IFO 380,1 x Diesel - MAN B. & W. 6S60MC-C7.2,3 x Aux. Diesel Gen. - Yanmar,"1 x Nakashima, FP Propeller, 105rpm ","1 x Exhaust Scrubber - SOx - ContiOcean, 1 x BWTS - Ballast Water Treatment System - SunRui",True,False,2027-06-05T00:00:00,2022-08-04T00:00:00,[],[],[],[],[],[],[],,,,,,,,,,,,,Namura 115K Product Tanker,,,,True,,,,,,,,,,
16182721,9587192.0,Advantage Sweet,2012-01-01T00:00:00,Crude Tankers,"Suezmax (125,000-199,999 dwt)",Tanker,Marshall Is.,11.08333,538010184.0,American Bureau of Shipping,Fleet,Detained,81453,159058.0,274.23,17.0,48.0,23913.0,811370,Advantage Tankers,Switzerland,811370,Advantage Tankers,Switzerland,SPDBFL No. One Hundred & Eighty-Seven (Tianjin) Ship Leasing Co. Ltd.,452337,Samsung HI,South Korea,159058.0,DWT,V7A5725,93743.001,2010-03-25T00:00:00,30231.40111,Samsung HI,,,,187165.0,Geden Line,Turkey,172275.0,,3.0,False,,,False,15.3,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S70ME-C8.2,3 x Aux. Diesel Gen. - Yanmar,"1 x Nakashima, FP Propeller, 91rpm ","1 x Exhaust Scrubber - SOx (Pending) - Feen Marine Inc., 1 x BWTS - Ballast Water Treatment System - S&SYS(Samsung HI)",True,False,2027-01-31T00:00:00,2022-03-16T00:00:00,[],[],[],[],[],[],[],,,,,,,,,Eco – Electronic Engine,,,Dolviken,,,,,True,,,,,,,,,,
16185243,9732058.0,Da Tang 7 Hao,2011-01-01T00:00:00,Bulkcarriers,Handymax Bulker,Bulk Carrier,China P.R.,12.08333,413302520.0,China Classification Society,Fleet,In Service,28757,44096.0,199.99,10.2,32.26,,600064,Jiangsu Datang Shpg,China P.R.,833930,China Datang Corp,China P.R.,"ICBC Financial Leasing Co.,Ltd.",983412,Chengxi Shipyard,China P.R.,44096.0,DWT,BFAO5,93802.001,2010-04-23T00:00:00,15213.58552,Chengxi Shipyard,600064.0,Jiangsu Datang Shpg,China P.R.,600064.0,Jiangsu Datang Shpg,China P.R.,,,,,,B,True,12.2,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S46MC-C7.2,,"1 x FP Propeller, 108rpm ",1 x HVEC -High Voltage External Connection,,False,2026-01-19T00:00:00,2021-01-20T00:00:00,[],[],[],[],[],[],[],,,,,False,,,,,,,,SDARI 45K Yangtzemax,5.0,5.0,,,,,,,,,,,,
16185614,9587984.0,Heilan Star,2011-05-01T00:00:00,Bulkcarriers,Handymax Bulker,Bulk Carrier,Panama,11.75,356106000.0,China Classification Society,Fleet,In Service,32953,56920.0,189.99,12.8,32.26,,938031,Hailan Ship Leasing,China P.R.,938031,Hailan Ship Leasing,China P.R.,NHC Shipping Inc,983412,Shanghai Shipyard,China P.R.,56920.0,DWT,HP5246,93751.005,2010-03-21T00:00:00,16531.56323,Shanghai Shipyard,293138.0,NASCO,China P.R.,293138.0,NASCO,China P.R.,,,,,,,False,14.0,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S50MC-C8.2,3 x Aux. Diesel Gen.,"1 x Changzhou Zhonghai, FP Propeller, 127rpm ",1 x BWTS - Ballast Water Treatment System - Qingdao Headway,True,False,2026-05-19T00:00:00,2021-06-24T00:00:00,[],[],[],[],[],[],[],,,,,True,,,35.2,,,,,Dolphin 57,5.0,5.0,,,,,,False,,,,,,
16196902,9604122.0,Ever Lotus,2013-12-01T00:00:00,Containerships,"Neo-Panamax Containership 8,000-11,999 TEU",Fully Cellular Container,Panama,9.16667,352135000.0,Nippon Kaiji Kyokai,Fleet,In Service,98882,104409.0,334.8,14.2,45.8,,164032,Evergreen Marine,Taiwan,164032,Evergreen Marine,Taiwan,GREENCOMPASS MARINE S.A.,452337,Samsung HI,South Korea,8452.0,TEU,3FWH8,77065.005,2010-09-28T00:00:00,47362.35901,Samsung HI,164032.0,Evergreen Marine,Taiwan,164032.0,Evergreen Marine,Taiwan,,,,,,,False,24.5,Diesel 2-Stroke,IFO 380,1 x Diesel - MAN B. & W. 9K98ME7.2,4 x Aux. Diesel Gen. - MAN Energy Solutions,"1 x Nakashima, FP Propeller, 97rpm ","1 x Exhaust Scrubber - SOx - Wartsila Moss, 1 x Oily Water Separator - Blohm + Voss SY, 1 x BWTS - Ballast Water Treatment System - Optimarin",True,False,2023-12-10T00:00:00,2018-11-02T00:00:00,[],[],[],[],[],[],[],,,,8452.0,False,,1884.0,,Eco – Electronic Engine,103.0,$m,,L-Type,,,,True,,,,,,,,,,
